Accessing Elements for int type.
N   total time    time per operation   Log(N)
9550        6931         0.725759       -0.462437
9600        6938         0.722708       -0.468515
9650        7022         0.727668       -0.458647
9700        7006         0.722268       -0.469394
9750        7150         0.733333       -0.447459
9800        7076         0.722041       -0.469848
9850        7114         0.722234       -0.469463
9900        7277         0.735051       -0.444085
9950        7237         0.727337       -0.459305
10000        7278         0.7278       -0.458386
10050        7311         0.727463       -0.459055
10100        7298         0.722574       -0.468782
10150        7334         0.722562       -0.468808
10200        7363         0.721863       -0.470204
10250        7469         0.728683       -0.456637
10300        7446         0.722913       -0.468107
10350        7474         0.722126       -0.469678
10400        7511         0.722212       -0.469507
10450        7547         0.722201       -0.469528
10500        7579         0.72181       -0.47031
10550        9691         0.918578       -0.122526
10600        7905         0.745755       -0.423227
10650        7768         0.72939       -0.455238
10700        7829         0.731682       -0.450711
10750        7820         0.727442       -0.459096
10800        7903         0.731759       -0.450559
10850        7887         0.726912       -0.460146
10900        7931         0.727615       -0.458753
10950        7934         0.724566       -0.464811
11000        7942         0.722       -0.469929
11050        8004         0.724344       -0.465253
11100        8008         0.721441       -0.471046
11150        8048         0.721794       -0.470341
11200        8269         0.738304       -0.437714
11250        8259         0.734133       -0.445886
11300        8442         0.74708       -0.420666
11350        8254         0.727225       -0.459527
11400        8345         0.732018       -0.45005
11450        8265         0.721834       -0.470261
11500        8307         0.722348       -0.469234
11550        8365         0.724242       -0.465455
11600        8378         0.722241       -0.469447
11650        8406         0.721545       -0.470839
11700        10089         0.862308       -0.213725
11750        8491         0.722638       -0.468654
11800        8599         0.728729       -0.456546
11850        8631         0.728354       -0.457287
11900        8644         0.726387       -0.461191
11950        8686         0.726862       -0.460247
12000        8665         0.722083       -0.469763
12050        8695         0.721577       -0.470775
12100        8734         0.721818       -0.470293
12150        8802         0.724444       -0.465053
12200        8811         0.722213       -0.469503
12250        8839         0.721551       -0.470827
12300        8881         0.722033       -0.469864
12350        8929         0.722996       -0.467941
12400        8948         0.721613       -0.470703
12450        9109         0.731647       -0.450781
12500        9072         0.72576       -0.462436
12550        9061         0.721992       -0.469945
12600        9097         0.721984       -0.469961
12650        9152         0.723478       -0.466978
12700        9227         0.726535       -0.460895
12750        9205         0.721961       -0.470008
12800        9235         0.721484       -0.47096
12850        10940         0.851362       -0.232156
12900        9335         0.723643       -0.466649
12950        9351         0.722085       -0.46976
13000        9550         0.734615       -0.444939
13050        9472         0.725824       -0.462309
13100        9515         0.726336       -0.461291
13150        9494         0.721977       -0.469975
13200        9525         0.721591       -0.470747
13250        9589         0.723698       -0.46654
13300        9602         0.721955       -0.470019
13350        9824         0.73588       -0.442457
13400        9736         0.726567       -0.460832
13450        9764         0.725948       -0.462062
13500        9899         0.733259       -0.447605
13550        9851         0.727011       -0.459951
13600        9821         0.722132       -0.469665
13650        9898         0.725128       -0.463692
13700        9884         0.72146       -0.471009
